Brand,Model,Launch Date,Price,Ground Type,Material,Weight,Players
Adidas,Mundial Team,2017-03-14,150$,['TF'],KANGAROO,360g,[None]
Adidas,Mundial Team Modern Craft,2016-11-15,180$,['TF'],KANGAROO,360g,[None]
Adidas,Mundial Team Modern Craft,2016-11-15,180$,['TF'],KANGAROO,360g,[None]
Adidas,Mundial Team,2017-03-14,150$,['TF'],KANGAROO,360g,[None]
Adidas,Ace 17.1 Primeknit,2017-03-31,200$,['FG'],KNIT,0g,"['OZIL,', 'POGBA,', 'DELE ALLI']"
Adidas,Ace 17.1 Primeknit,2017-03-01,200$,['FG'],KNIT,0g,"['OZIL,', 'POGBA,', 'DELE ALLI']"
Adidas,Ace 17.2 Primemesh,2017-03-01,130$,['FG'],SYNTHETIC,0g,"['OZIL,', 'POGBA,', 'DELE ALLI']"
Adidas,Ace Tango 17+ PureControl Indoor,2017-03-31,180$,['IN'],KNIT,0g,"['OZIL,', 'POGBA,', 'DELE ALLI']"
Adidas,Ace Tango 17+ PureControl Turf,2017-03-31,180$,['TF'],KNIT,0g,"['OZIL,', 'POGBA,', 'DELE ALLI']"
Adidas,X Tango 16+ Purechaos Turf,2017-03-31,180$,['TF'],SYNTHETIC,0g,"['GARETH BALE,', 'LUIS SUAREZ,', 'ANGEL DI MARIA,', 'KARIM BENZEMA,', 'ARJEN ROBBEN,', 'DIEGO COSTA']"
Adidas,X Tango 16.1 Turf,2017-03-01,150$,['TF'],SYNTHETIC,0g,[None]
Adidas,Copa Tango 17.3 Indoor,2017-03-31,70$,['IN'],COW,0g,[None]
Adidas,Copa Tango 17.3 Turf,2017-03-31,70$,['TF'],COW,0g,[None]
Adidas,Ace Tango 17.2 Training,2017-03-31,85$,['ST'],SYNTHETIC,0g,[None]
Adidas,Ace Tango 17.1 Turf,2017-03-01,130$,['TF'],SYNTHETIC,0g,[None]
Adidas,X 16.1,2017-03-31,200$,"['FG', 'SG']",SYNTHETIC,198g,"['THOMAS MULLER,', 'GARETH BALE,', 'LUIS SUAREZ,', 'ANGEL DI MARIA,', 'KARIM BENZEMA,', 'ARJEN ROBBEN,', 'DIEGO COSTA,', 'MARCELO,', 'DAVID VILLA']"
Adidas,Ace Tango 17.1 Training,2017-03-01,130$,['ST'],SYNTHETIC,0g,[None]
Adidas,Ace 17.3 Primemesh Turf,2017-03-01,90$,['TF'],SYNTHETIC,0g,[None]
Adidas,X 16.3,2017-03-01,90$,['FG'],SYNTHETIC,0g,"['GARETH BALE,', 'LUIS SUAREZ,', 'ANGEL DI MARIA,', 'KARIM BENZEMA,', 'ARJEN ROBBEN,', 'DIEGO COSTA']"
Adidas,Ace 17.3 Primemesh,2017-03-01,90$,['FG'],SYNTHETIC,0g,[None]
Adidas,Copa 17.1,2017-03-31,220$,['FG'],KANGAROO,0g,[None]
Nike,MagistaX Finale II IC,2017-03-24,100$,['IN'],SYNTHETIC,0g,[None]
Nike,HypervenomX Proximo III IC,2017-03-20,175$,['IN'],KNIT,0g,"['LEWANDOWSKI,', 'ROONEY']"
Nike,MercurialX Proximo II TF,2017-03-20,175$,['TF'],KNIT,0g,[None]
Nike,TiempoX Proximo IC,2017-03-20,140$,['IN'],KANGAROO,0g,[None]
NewBalance,Furon 2.0 Hydra LE,2017-03-16,240$,['FG'],SYNTHETIC,0g,['MEMPHIS']
Adidas,X 16.1 Leather,2017-03-31,200$,['FG'],KANGAROO,198g,[None]
Nike,Mercurial Superfly V SE,2017-03-20,325$,['FG'],KNIT,0g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Magista Obra II SE,2017-03-20,325$,['FG'],SYNTHETIC,0g,"['INIESTA,', 'GOTZE,', 'THIAGO SILVA,', 'CABAYE']"
Nike,Tiempo Legend VI SE,2017-03-20,275$,['FG'],KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,Hypervenom Phantom III DF SE,2017-03-20,350$,['FG'],"KANGAROO,",0g,"['LEWANDOWSKI,', 'ROONEY']"
Nike,Magista Opus II,2017-03-26,230$,"['AG', 'FG', 'SG']",SYNTHETIC,0g,"['INIESTA,', 'GOTZE,', 'THIAGO SILVA,', 'CABAYE']"
Nike,Hypervenom Phantom III Women's,2017-03-27,300$,['FG'],KNIT,0g,[None]
Nike,MercurialX Proximo II IC,2017-03-26,175$,['IN'],KNIT,0g,[None]
Nike,MercurialX Proximo II TF,2017-03-26,175$,['TF'],KNIT,0g,[None]
Nike,MercurialX Finale II IC,2017-03-26,100$,['IN'],SYNTHETIC,0g,[None]
Nike,Mercurial Superfly V,2017-03-26,300$,"['AG', 'FG', 'SG']",KNIT,0g,"['ALEXIS SANCHEZ,', 'DYBALA,', 'MARCHISIO,', 'VIDAL,', 'ROJO,', 'PASTORE']"
Nike,Tiempo Legend VI,2017-03-26,210$,"['AG', 'FG', 'HG', 'SG']",KANGAROO,244g,"['PIQUE,', 'RAMOS,', 'KOSCIELNY,', 'VARANE,', 'LLORIS,', 'CARVAJAL,', 'BOATENG']"
Nike,MagistaX Proximo II IC,2017-03-27,175$,['IN'],SYNTHETIC,0g,[None]
Nike,MagistaX Proximo II TF,2017-03-27,175$,['TF'],SYNTHETIC,0g,[None]
Nike,Mercurial Superfly Women's,2017-03-27,275$,['FG'],KNIT,200g,[None]
