Nike,Mercurial Vapor XI,0,"['Neymar', 'Eden Hazard', 'Luka ModriÄ\x87', 'Philippe Coutinho', 'Douglas Costa', 'Isco', 'Romelu Lukaku', 'Ousmane DembÃ©lÃ©', 'Casemiro', 'Franck RibÃ©ry', 'Sadio ManÃ©', 'Marcos Rojo', 'Willian', 'Radja Nainggolan', 'Yannick Ferreira Carrasco']"
Adidas,MESSI 16+ Pureagility,0,"['Timo Werner', 'Aleksey Berezutskiy']"
Adidas,X 16.1,0,"['Gareth Bale', 'Luis SuÃ¡rez', 'Javier HernÃ¡ndez', 'Karim Benzema', 'Ã\x81lvaro Morata', 'Mohamed Salah', 'Bernardo Silva', 'Andrea Belotti', 'Alberto Moreno', 'Thomas Lemar', 'Shinji Kagawa', 'Ruben Loftus-Cheek', 'Filipe Luis', 'Lucas Digne', 'Lucas']"
Adidas,X 16+ Purechaos,0,"[""N'Golo KantÃ©"", 'James RodrÃ\xadguez', 'Marcelo', 'Gabriel Jesus', 'Diego Costa', 'Thomas MÃ¼ller', 'Ã\x81ngel Di Maria', 'David Alaba', 'Ashley Young', 'Ander Herrera', 'Lucas VÃ¡zquez', 'Theo Walcott', 'Kenedy', 'Lorenzo Insigne', 'Fabinho']"
Adidas,MESSI 16.1,0,"['Lionel Messi', 'Kasper Dolberg']"
New Balance,Furon 2.0,0,"['JesÃºs Navas', 'Kasper Schmeichel', 'Yannick Bolasie', 'Ã\x81lvaro Negredo', 'Aaron Lennon', 'Kevin Mirallas', 'Tim Cahill']"
Adidas,F50 Adizero Leather,0,['Denys Garmash']
Nike,Hypervenom Phantom II Neymar x Jordan,0,[]
Nike,Hypervenom Phinish Neymar x Jordan,0,['Bernard']
Under Armour,Spotlight,0,['Memphis Depay']
Nike,Mercurial Superfly Heritage iD,0,['Giles Barnes']
Nike,Mercurial Superfly V iD,0,[]
Nike,Mercurial Vapor XI iD,0,[]
Adidas,X 16.1 Leather,0,"['Zlatan IbrahimoviÄ\x87', 'David De Gea', 'Arjen Robben', 'David Silva', 'Juan Cuadrado', 'Jesse Lingard', 'Luke Shaw', 'Georginio Wijnaldum', 'CÃ©sar Azpilicueta', 'Andre SchÃ¼rrle', 'Michy Batshuayi', 'Morgan Schneiderlin', 'Gianluca Lapadula', 'Ã\x93liver Torres', 'Thomas Meunier']"
Nike,Magista Opus II,0,"['AndrÃ©s Iniesta', 'Arda Turan', 'Sergio Busquets', 'Thibaut Courtois', 'Javier Mascherano', 'Michael Carrick', 'Christian Eriksen', 'Sami Khedira', 'Medhi Benatia', 'Nathan AkÃ©', 'Daniele Rugani', 'Jordan Henderson', 'BeÃ±at', 'Juan Carlos', 'James Milner']"
Nike,Magista Obra II,0,"['Kevin De Bruyne', 'Arturo Vidal', 'Mario GÃ¶tze', 'David Luiz', 'Sergi Roberto', 'Leonardo Bonucci', 'Blaise Matuidi', 'Sergio Romero', 'Samuel Umtiti', 'AndrÃ© Gomes', 'Denis SuÃ¡rez', 'Kiko Casilla', 'Gary Cahill', 'Shkodran Mustafi', 'Marquinhos']"
Nike,Mercurial Vapor III,0,['Charly Musonda']
Adidas,Copa 17,0,[]
Adidas,ACE 17+ Purecontrol,0,"['Paul Pogba', 'Mesut Ã\x96zil', 'Juan Mata', 'Ivan RakitiÄ\x87', 'Julian Draxler', 'Roberto Firmino', 'Dele Alli', 'Aymeric Laporte', 'Koke', 'Carles AleÃ±Ã¡', 'FabiÃ¡n Orellana', 'Lucas Biglia', 'Diogo Jota', 'Lucas Lima', 'Gyasi Zardes']"
Adidas,ACE 17.1 Primeknit,0,"['Manuel Neuer', 'Keylor Navas', 'Miralem PjaniÄ\x87', 'Mats Hummels', 'Renato Sanches', 'Daley Blind', 'Phil Jones', 'Ä°lkay GÃ¼ndogan', 'Claudio Bravo', 'JÃ©rÃ©my Mathieu', 'Adrien Rabiot', 'Kevin Trapp', 'Loris Karius', 'Andrea Raggi', 'Iker Casillas']"
Adidas,ACE 17.1 Leather,0,"['Fernando Torres', 'Xabi Alonso', 'Jordi Alba', 'Philipp Lahm', 'Mousa DembÃ©lÃ©', 'Nemanja MatiÄ\x87', 'Javi MartÃ\xadnez', 'Nacho FernÃ¡ndez', 'Daniele De Rossi', 'Joel Matip', 'Miranda', 'Per Mertesacker', 'NicolÃ¡s GaitÃ¡n', 'Mattia De Sciglio', 'Ola Aina']"
Nike,Mercurial Superfly V CR7,0,"['Cristiano Ronaldo', 'James McClean']"
Puma,evoSPEED 17 SL-S,0,"['Antoine Griezmann', 'Sergio AgÃ¼ero', 'HÃ©ctor BellerÃ\xadn', 'Marco Reus', 'Radamel Falcao', 'Adam Lallana', 'Gianluigi Donnarumma', 'Nolito', 'Nacho Monreal', 'GaÃ«l Clichy', 'Eduardo', 'Stephan Lichtsteiner', 'Stefano Sturaro', 'MatÃ\xadas FernÃ¡ndez', 'Marko ArnautoviÄ\x87']"
Puma,evoPOWER Vigor 1,0,"['Gianluigi Buffon', 'Olivier Giroud', 'Diego GodÃ\xadn', 'Giorgio Chiellini', 'Petr Ä\x8cech', 'Yaya TourÃ©', 'Aritz Aduriz', 'Julian Weigl', 'Makoto Hasebe', 'Marc Bartra', 'Jordi Masip', 'Gabi', 'Mario Balotelli', 'Christian Fuchs', 'Grzegorz Krychowiak']"
Nike,Hypervenom Phantom III DF,0,"['Robert Lewandowski', 'Pierre-Emerick Aubameyang', 'Edinson Cavani', 'Riyad Mahrez', 'Jamie Vardy', 'Mauro Icardi', 'Thiago AlcÃ¡ntara', 'Paco AlcÃ¡cer', 'Mario Lemina', 'Danny Welbeck', 'Daniel Sturridge', 'Victor Moses', 'Bacary Sagna', 'Ross Barkley', 'IÃ±aki Williams']"
Nike,Hypervenom Phantom III,0,"['Gonzalo HiguaÃ\xadn', 'Wayne Rooney', 'Marcus Rashford', 'Harry Kane', 'Alexandre Lacazette', 'Pedro', 'Mario MandÅ¾ukiÄ\x87', 'Mateo KovaÄ\x8diÄ\x87', 'Alex Oxlade-Chamberlain', 'Gerard Deulofeu', 'Kurt Zouma', 'Marcos Alonso', 'John Stones', 'Mariano DÃ\xadaz', 'Corentin Tolisso']"
Under Armour,ClutchFit Force 3.0 3D,0,['Granit Xhaka']
