Fran VÃ©lez,Adidas,ACE 17.1 Leather>,0,
Quique,Nike,Mercurial Vapor XI>,0,
LicÃ¡,Adidas,X 16.1>,0,
Abdoulaye,Nike,Magista Obra II>,0,
Jozabed SÃ¡nchez,Adidas,ACE 17.1 Leather>,0,
Ãlex Moreno,Nike,Mercurial Superfly V>,0,
Quini,Nike,Mercurial Superfly V>,0,
Jorge Morcillo,Nike,Tiempo Legend VI>,0,
Diego Aguirre,Nike,Hypervenom Phantom III DF>,0,
Guilherme Siqueira,Nike,Mercurial Vapor XI>,0,
Ricardo Horta,Adidas,X 16.1>,0,
AgustÃ­n Cousillas,Adidas,ACE 17.1 Leather>,0,
Edgar,Nike,Mercurial Vapor XI>,0,
Rolando Aarons,Nike,Hypervenom Phantom III DF>,0,
Stanley Okoro,Nike,Mercurial Vapor XI>,0,
Michel,Nike,Mercurial Superfly V>,0,
Carles Planas,Nike,Magista Opus II>,0,
Jota,Nike,Mercurial Superfly V>,0,
Pablo HernÃ¡ndez,Adidas,ACE 17.1 Leather>,0,
Guillaume Gillet,Adidas,ACE 17.1 Leather>,0,
Alphonse ArÃ©ola,Nike,Magista Opus II>,0,
Juan Pablo Pino,Nike,Mercurial Superfly V>,0,
Apodi,Adidas,X 16.1>,0,
Christopher Maboulou,Adidas,X 16.1>,0,
Luka Kikabidze,Nike,Mercurial Superfly V>,0,
Christophe Vincent,Adidas,ACE 17.1 Leather>,0,
Nicolas Pallois,Nike,Tiempo Legend VI>,0,
Emiliano Sala,Adidas,X 16.1>,0,
Hadi Sacko,Nike,Mercurial Superfly V>,0,
ValentÃ­n Vada,Adidas,ACE 17.1 Primeknit>,0,
JÃ©rÃ´me Prior,Nike,Mercurial Vapor XI>,0,
Thomas TourÃ©,Nike,Mercurial Superfly V>,0,
ClÃ©ment Badin,Puma,evoSPEED 17 SL-S>,0,
Fabien Camus,Nike,Tiempo Legend VI>,0,
Nicki Bille Nielsen,Adidas,X 16.1>,0,
Jesper JuelsgÃ¥rd,Puma,evoPOWER Vigor 1>,0,
Benjamin Leroy,Adidas,ACE 17.1 Leather>,0,
Zakariya Abarouai,Nike,Magista Opus II>,0,
Adrien Thomasson,Nike,Mercurial Vapor XI>,0,
Ronnie Schwartz,Adidas,F50 Adizero>,0,
Jonas LÃ¶ssl,Puma,evoSPEED 17 SL-S>,0,
Lars Jacobsen,Nike,Tiempo Legend VI>,0,
Julien Cardy,Adidas,ACE 17.1 Leather>,0,
TiÃ©coro Keita,Nike,Mercurial Superfly V>,0,
Benjamin Jeannot,Nike,Mercurial Superfly V>,0,
Walid Mesloub,Nike,Mercurial Vapor IX>,0,
Vincent Le Goff,Nike,Tiempo Legend VI>,0,
Mathias Autret,Nike,Tiempo Legend VI>,0,
Cheick TourÃ©,Puma,King>,0,
RÃ©mi Mulumba,Nike,Magista Obra II>,0,
Benjamin Lecomte,Adidas,ACE 17.1 Leather>,0,
Alassane PlÃ©a,Nike,Magista Obra II>,0,
Michy Batshuayi,Adidas,X 16.1 Leather>,0,
Momar Bangoura,Nike,Magista Obra II>,0,
Maxime Lopez,Adidas,X 16.1>,0,
Julien Fabri,Adidas,ACE 17.1 Leather>,0,
Baptiste AloÃ©,Nike,Tiempo Legend VI>,0,
JÃ©rÃ©mie Porsan-Clemente,Nike,Mercurial Superfly V>,0,
StÃ©phane Sparanga,Nike,Tiempo Legend VI>,0,
Billel Omrani,Nike,Mercurial Superfly V>,0,
Senah Mango,Adidas,X 16.1>,0,
Bernardo Silva,Adidas,X 16.1>,0,
Paul Nardi,Adidas,ACE 17.1 Leather>,0,
Aboud Aziz Thiam,Adidas,X 16.1>,0,
Almamy TourÃ©,Nike,Mercurial Vapor XI>,0,
Abdelaziz Barrada,Nike,Mercurial Vapor XI>,0,
Marcel Tisserand,Adidas,X 16.1>,0,
Seydou Sy,Adidas,X 16.1>,0,
Dylan Gissi,Adidas,ACE 17.1 Leather>,0,
Abdoulaye SanÃ©,Adidas,X 16.1>,0,
Steve MouniÃ©,Nike,Mercurial Vapor XI>,0,
Quentin Cornette,Nike,Mercurial Superfly V>,0,
Gianni Seraf,Nike,Mercurial Superfly V>,0,
Bryan Dabo,Nike,Mercurial Vapor XI>,0,
LÃ©o Dubois,Nike,Magista Opus II>,0,
Nassim Badri,Adidas,ACE 17.1 Leather>,0,
Yacine Bammou,Nike,Hypervenom Phantom III DF>,0,
Anthony Walongwa,Adidas,ACE 17.1 Leather>,0,
Abdoulaye TourÃ©,Adidas,X 16.1>,0,
Kian Hansen,Nike,Mercurial Vapor IX>,0,
Niklas Hult,Adidas,X 16.1>,0,
Julien Vercauteren,Nike,Mercurial Superfly V>,0,
Lucas Rougeaux,Nike,Tiempo Legend VI>,0,
Bryan Constant,Nike,Mercurial Superfly V>,0,
Yoan Cardinale,Nike,Tiempo Legend VI>,0,
Joris Delle,Nike,Tiempo Legend VI>,0,
KÃ©vin Gomis,Nike,Magista Obra II>,0,
Yann Benedick,Nike,CTR360 Maestri>,0,
Alexis Peuget,Adidas,ACE 17.1 Leather>,0,
Mexer,Nike,Magista Opus II>,0,
Yasuhito Endo,Umbro,Accerator Endo>,0,
Philipp Hosiner,Nike,Tiempo Legend VI>,0,
Pedro Henrique,Nike,Tiempo Legend VI>,0,
Olivier Sorin,Umbro,Geometra>,0,
Gjoko Zajkov,Nike,Tiempo Legend VI>,0,
Axel Ngando,Nike,Mercurial Superfly V>,0,
Zana AllÃ©e,Nike,Mercurial Superfly V>,0,
Nathan Dekoke,Nike,Tiempo Legend VI>,0,
Jonathan Bamba,Adidas,X 16.1>,0,
Maxence Chapuis,Nike,Tiempo Legend VI>,0,
JÃ©rrold Nyemeck,Nike,CTR360 Maestri>,0,
Pierre-Yves Polomat,Adidas,X 16.1>,0,
DragoÅ Grigore,Nike,Mercurial Vapor XI>,0,
William Matheus,Adidas,X 16.1>,0,
Aleksandar PeÅ¡iÄ,Adidas,X 16.1>,0,
Maxime Spano,Nike,Tiempo Legend VI>,0,
Emmanuel Debordeaux,Nike,Mercurial Superfly V>,0,
Corentin Halucha,Adidas,X 16.1>,0,
Florian Escales,Adidas,ACE 17.1 Leather>,0,
Javi Espinosa,Nike,Magista Opus II>,0,
Luciano Vietto,Adidas,X 16+ Purechaos>,0,
Gerard Moreno,Nike,Magista Obra II>,0,
Borja Viguera,Nike,Magista Opus II>,0,
Kepa Arrizabalaga,Adidas,ACE 17.1 Leather>,0,
Unai LÃ³pez,Adidas,X 16.1>,0,
IÃ±igo Ruiz de Galarreta,Adidas,ACE 17.1 Leather>,0,
Yuri Berchiche,Nike,Mercurial Vapor XI>,0,
Yoshito Okubo,Nike,Hypervenom Phantom III DF>,0,
Chris Kettings,Adidas,ACE 17.1 Leather>,0,
Brendan Galloway,Adidas,X 16.1>,0,
Sam Byrne,Adidas,ACE 17.1 Leather>,0,
Harry Maguire,Nike,Tiempo Legend VI>,0,
Andrew Robertson,Nike,Tiempo Legend VI>,0,
Jarrod Bowen,Adidas,ACE 17.1 Leather>,0,
Johan Ter Horst,Nike,Hypervenom Phantom III DF>,0,
Leonardo Ulloa,Adidas,X 16.1>,0,
Lazar MarkoviÄ,Mizuno,Morelia Neo>,0,
Patrick van Aanholt,Nike,Hypervenom Phantom III DF>,0,
VÃ­ctor RodrÃ­guez,Nike,Magista Obra II>,0,
Karim Yoda,Nike,Mercurial Superfly V>,0,
FayÃ§al Fajr,Adidas,ACE 17.1 Primeknit>,0,
PrzemysÅaw TytoÅ,Adidas,ACE 17.1 Leather>,0,
Enzo Roco,Nike,Magista Obra II>,0,
Mario PaÅ¡aliÄ,Adidas,X 16.1>,0,
Jonathas,Nike,Mercurial Superfly V>,0,
Sergi GuillÃ³,Adidas,ACE 17.1 Leather>,0,
JosÃ© Ãngel Alonso,Nike,Magista Opus II>,0,
Roberto Chen,Nike,Tiempo Legend VI>,0,
Luca Ceppitelli,Nike,Magista Obra II>,0,
Ivan Cavaleiro,Nike,Mercurial Vapor XI>,0,
Kasper Schmeichel,New Balance,Furon 2.0>,0,
Ritchie De Laet,Adidas,ACE 17.1 Leather>,0,
Paul Konchesky,Nike,Magista Opus II>,0,
Danny Drinkwater,Nike,Magista Opus II>,0,
Wes Morgan,Nike,Magista Opus II>,0,
Matthew Upson,Adidas,Copa Mundial>,0,
Dean Hammond,Adidas,Predator LZ>,0,
Matty James,Nike,Magista Opus II>,0,
Jamie Vardy,Nike,Hypervenom Phantom III DF>,0,
Andy King,Adidas,ACE 17.1 Leather>,0,
Ben Hamer,Nike,Tiempo Legend VI>,0,
Jeffrey Schlupp,Adidas,X 16.1>,0,
Liam Moore,Nike,Magista Opus II>,0,
Tom Hopper,Adidas,ACE 17.1 Leather>,0,
Gary Taylor-Fletcher,Nike,Tiempo Legend VI>,0,
Anthony Knockaert,Nike,Tiempo Legend VI>,0,
Conrad Logan,Nike,Tiempo Legend VI>,0,
Marcin Wasilewski,Nike,Mercurial Vapor XI>,0,
Adam Smith,>,>,0,
David Nugent,Adidas,X 16.1>,0,
Chris Wood,Nike,Hypervenom Phantom III DF>,0,
Tom Heaton,Nike,Magista Opus II>,0,
Kieran Trippier,Adidas,X 16.1>,0,
Danny Lafferty,Nike,Mercurial Vapor XI>,0,
Michael Duff,Adidas,ACE 17.1 Leather>,0,
Jason Shackell,Nike,Tiempo Legend VI>,0,
Ben Mee,Adidas,ACE 17.1 Leather>,0,
Ross Wallace,Nike,Mercurial Superfly V>,0,
Dean Marney,Nike,Magista Opus II>,0,
Sam Vokes,Adidas,X 16.1>,0,
Danny Ings,Nike,Mercurial Vapor XI>,0,
Michael Kightly,Adidas,X 16.1>,0,
Alex Cisak,Nike,Magista Opus II>,0,
David Jones,Adidas,ACE 17.1 Leather>,0,
Luke O'Neill,Adidas,ACE 17.1 Leather>,0,
Marvin Sordell,Puma,evoSPEED 17 SL-S>,0,
Lukas Jutkiewicz,Adidas,X 16.1 Leather>,0,
Matthew Gilks,Adidas,ACE 17.1 Leather>,0,
Kevin Long,Nike,Tiempo Legend VI>,0,
Ashley Barnes,Nike,Mercurial Vapor XI>,0,
Callum Richardson,>,>,0,
Cameron Howieson,Puma,evoPOWER Vigor 1>,0,
Steven Hewitt,Adidas,ACE 17.1 Leather>,0,
Scott Arfield,Nike,Tiempo Legend VI>,0,
Jason Gilchrist,Adidas,X 16.1>,0,
Abraham,Nike,Tiempo Legend VI>,0,
Dani Nieto,Adidas,X 16.1>,0,
